,cerebellum,colon,endometrium,hippocampus,kidney,liver,placenta
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0.25,0.0,0.0,0.25,0.25,0.25,0.0
3,0.0,0.0,0.28846153846153844,0.0,0.7115384615384616,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.14705882352941177,0.0,0.0,0.8529411764705882,0.0,0.0,0.0
