model,silhouette,normalized_mutual,adjusted_rand_score
KMeans,0.4160486582619177,0.9193450886650285,0.8841376097386267
DBSCAN,0.3831181743004079,0.7053023795057453,0.4795845898817984
GaussianMixture,0.394165368180416,0.8224527016578272,0.7247840745306161
